0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 3.815 | MinDCF = 1.0
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 8.995 | MinDCF = 1.0
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.866 | MinDCF = 0.506
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.999 | MinDCF = 0.742
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.827
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.927 | MinDCF = 0.835
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.227
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.244 | MinDCF = 0.224
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.905 | MinDCF = 1.0
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Raw | Calibrated | PCA = 6 | ActDCF = 4.739 | MinDCF = 1.0
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.648 | MinDCF = 0.295
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Raw | Calibrated | PCA = 6 | ActDCF = 0.527 | MinDCF = 0.297
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.816
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.89 | MinDCF = 0.825
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.221
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 0.0 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.238 | MinDCF = 0.22
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.32 | MinDCF = 1.0
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 5.873 | MinDCF = 1.0
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.47 | MinDCF = 0.323
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.653 | MinDCF = 0.329
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.972 | MinDCF = 0.527
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.384 | MinDCF = 0.527
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.968 | MinDCF = 0.169
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.185 | MinDCF = 0.169
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.378 | MinDCF = 1.0
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Raw | Calibrated | PCA = 6 | ActDCF = 5.318 | MinDCF = 1.0
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.488 | MinDCF = 0.232
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Raw | Calibrated | PCA = 6 | ActDCF = 0.591 | MinDCF = 0.235
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.937 | MinDCF = 0.516
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.358 | MinDCF = 0.516
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.935 | MinDCF = 0.163
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 4.0 | c = 1.0 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.183 | MinDCF = 0.163
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 4.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.652 | MinDCF = 1.0
