0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.805 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.9 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 8.421 | MinDCF = 0.836
0.5 | 0.1 | Quadratic Regression | Lambda = 2.34e-05 | Raw | PCA = 6 | ActDCF = 0.805 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 2.34e-05 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 2.34e-05 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 2.34e-05 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 2.34e-05 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.9 | Quadratic Regression | Lambda = 2.34e-05 | Normalized | PCA = 6 | ActDCF = 8.421 | MinDCF = 0.836
0.5 | 0.1 | Quadratic Regression | Lambda = 5.46e-05 | Raw | PCA = 6 | ActDCF = 0.805 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 5.46e-05 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 5.46e-05 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 5.46e-05 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 5.46e-05 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.9 | Quadratic Regression | Lambda = 5.46e-05 | Normalized | PCA = 6 | ActDCF = 8.421 | MinDCF = 0.836
0.5 | 0.1 | Quadratic Regression | Lambda = 1.27e-04 | Raw | PCA = 6 | ActDCF = 0.805 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 1.27e-04 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 1.27e-04 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 1.27e-04 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 1.27e-04 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.9 | Quadratic Regression | Lambda = 1.27e-04 | Normalized | PCA = 6 | ActDCF = 8.421 | MinDCF = 0.837
0.5 | 0.1 | Quadratic Regression | Lambda = 2.98e-04 | Raw | PCA = 6 | ActDCF = 0.805 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 2.98e-04 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 2.98e-04 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 2.98e-04 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 2.98e-04 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.9 | Quadratic Regression | Lambda = 2.98e-04 | Normalized | PCA = 6 | ActDCF = 8.421 | MinDCF = 0.835
0.5 | 0.1 | Quadratic Regression | Lambda = 6.95e-04 | Raw | PCA = 6 | ActDCF = 0.805 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 6.95e-04 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 6.95e-04 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 6.95e-04 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 6.95e-04 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.9 | Quadratic Regression | Lambda = 6.95e-04 | Normalized | PCA = 6 | ActDCF = 8.421 | MinDCF = 0.831
0.5 | 0.1 | Quadratic Regression | Lambda = 1.62e-03 | Raw | PCA = 6 | ActDCF = 0.805 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 1.62e-03 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 1.62e-03 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 1.62e-03 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.914
0.5 | 0.5 | Quadratic Regression | Lambda = 1.62e-03 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.398
0.5 | 0.9 | Quadratic Regression | Lambda = 1.62e-03 | Normalized | PCA = 6 | ActDCF = 8.421 | MinDCF = 0.822
0.5 | 0.1 | Quadratic Regression | Lambda = 3.79e-03 | Raw | PCA = 6 | ActDCF = 0.805 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 3.79e-03 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 3.79e-03 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 3.79e-03 | Normalized | PCA = 6 | ActDCF = 0.987 | MinDCF = 0.911
0.5 | 0.5 | Quadratic Regression | Lambda = 3.79e-03 | Normalized | PCA = 6 | ActDCF = 0.939 | MinDCF = 0.396
0.5 | 0.9 | Quadratic Regression | Lambda = 3.79e-03 | Normalized | PCA = 6 | ActDCF = 8.399 | MinDCF = 0.808
0.5 | 0.1 | Quadratic Regression | Lambda = 8.86e-03 | Raw | PCA = 6 | ActDCF = 0.81 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 8.86e-03 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 8.86e-03 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 8.86e-03 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.894
0.5 | 0.5 | Quadratic Regression | Lambda = 8.86e-03 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.393
0.5 | 0.9 | Quadratic Regression | Lambda = 8.86e-03 | Normalized | PCA = 6 | ActDCF = 8.421 | MinDCF = 0.802
0.5 | 0.1 | Quadratic Regression | Lambda = 2.07e-02 | Raw | PCA = 6 | ActDCF = 0.81 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 2.07e-02 | Raw | PCA = 6 | ActDCF = 0.123 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 2.07e-02 | Raw | PCA = 6 | ActDCF = 0.423 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 2.07e-02 | Normalized | PCA = 6 | ActDCF = 0.987 | MinDCF = 0.885
0.5 | 0.5 | Quadratic Regression | Lambda = 2.07e-02 | Normalized | PCA = 6 | ActDCF = 0.939 | MinDCF = 0.388
0.5 | 0.9 | Quadratic Regression | Lambda = 2.07e-02 | Normalized | PCA = 6 | ActDCF = 8.399 | MinDCF = 0.807
0.5 | 0.1 | Quadratic Regression | Lambda = 4.83e-02 | Raw | PCA = 6 | ActDCF = 0.814 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 4.83e-02 | Raw | PCA = 6 | ActDCF = 0.124 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 4.83e-02 | Raw | PCA = 6 | ActDCF = 0.424 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 4.83e-02 | Normalized | PCA = 6 | ActDCF = 0.978 | MinDCF = 0.873
0.5 | 0.5 | Quadratic Regression | Lambda = 4.83e-02 | Normalized | PCA = 6 | ActDCF = 0.938 | MinDCF = 0.383
0.5 | 0.9 | Quadratic Regression | Lambda = 4.83e-02 | Normalized | PCA = 6 | ActDCF = 8.398 | MinDCF = 0.787
0.5 | 0.1 | Quadratic Regression | Lambda = 1.13e-01 | Raw | PCA = 6 | ActDCF = 0.814 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 1.13e-01 | Raw | PCA = 6 | ActDCF = 0.124 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 1.13e-01 | Raw | PCA = 6 | ActDCF = 0.424 | MinDCF = 0.191
0.5 | 0.1 | Quadratic Regression | Lambda = 1.13e-01 | Normalized | PCA = 6 | ActDCF = 0.978 | MinDCF = 0.872
0.5 | 0.5 | Quadratic Regression | Lambda = 1.13e-01 | Normalized | PCA = 6 | ActDCF = 0.938 | MinDCF = 0.375
0.5 | 0.9 | Quadratic Regression | Lambda = 1.13e-01 | Normalized | PCA = 6 | ActDCF = 8.398 | MinDCF = 0.781
0.5 | 0.1 | Quadratic Regression | Lambda = 2.64e-01 | Raw | PCA = 6 | ActDCF = 0.814 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 2.64e-01 | Raw | PCA = 6 | ActDCF = 0.124 | MinDCF = 0.115
0.5 | 0.9 | Quadratic Regression | Lambda = 2.64e-01 | Raw | PCA = 6 | ActDCF = 0.424 | MinDCF = 0.19
0.5 | 0.1 | Quadratic Regression | Lambda = 2.64e-01 | Normalized | PCA = 6 | ActDCF = 0.968 | MinDCF = 0.859
