0.5 | 0.1 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 3.13 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.096 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.726 | MinDCF = 0.459
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.011 | MinDCF = 0.481
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.126 | MinDCF = 0.543
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 9.011 | MinDCF = 0.564
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.061 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.096 | MinDCF = 0.753
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.787
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 7.896 | MinDCF = 0.949
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.985
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.828 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.114 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.648 | MinDCF = 0.458
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.013 | MinDCF = 0.467
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 3.648 | MinDCF = 0.561
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 9.013 | MinDCF = 0.56
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.098 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.1 | MinDCF = 0.732
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.773
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 7.9 | MinDCF = 0.92
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.03162277660168379 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.947
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 3.074 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.155 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.548 | MinDCF = 0.47
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.017 | MinDCF = 0.492
